FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
1648392,Pret A Manger (Landside T5),pret a manger landside t5,Restaurant/Cafe/Canteen,"Departures Level Terminal 5, Wellington Road, London Heathrow Airport",TW6 2GA,Hillingdon,-0.487831,51.47328,BAKERY_CAFE,VERIFIED_CANDIDATE
1488295,Pret A Manger (Main concourse site),pret a manger main concourse site,Restaurant/Cafe/Canteen,"Departures Level 1 (airside) Terminal 5 (large cafe), Wellington Road, London Heathrow Airport",TW6 2GA,Hillingdon,,,BAKERY_CAFE,VERIFIED_CANDIDATE
519716,Starbucks (Airside),starbucks airside,Restaurant/Cafe/Canteen,"Commercial Unit Fc1 Terminal 5c, Wellington Road, London Heathrow Airport",TW6 2GB,Hillingdon,-0.481313,51.470947,BAKERY_CAFE,VERIFIED_CANDIDATE
1582351,T5 Costa Crew (Level 2 BA Staff) Landside,t5 costa crew level 2 ba staff landside,Restaurant/Cafe/Canteen,"Level 2 Landside Terminal 5, Wellington Road, London Heathrow Airport",TW6 2GT,Hillingdon,-0.4878089,51.4716798,BAKERY_CAFE,VERIFIED_CANDIDATE
1782447,Fortnum & Mason,fortnum and mason,Retailers - other,"Departures Level Terminal 4, Stratford Road, London Heathrow Airport",TW6 3XA,Hillingdon,-0.4473528,51.4596672,GROCER_BAKERY,LOCATION_VERIFICATION
1131824,WHSmith - Main Landside,whsmith main landside,Retailers - other,"Commercial Unit D7 Terminal 4 Departures Level, Stratford Road, London Heathrow Airport",TW6 3XA,Hillingdon,-0.447715997695923,51.4592666625977,GROCER_BAKERY,VERIFIED_CANDIDATE
1288969,Pret A Manger,pret a manger,Restaurant/Cafe/Canteen,"Terminal 2 The Queen's Terminal, Inner Ring East, London Heathrow Airport",TW69 1EW,Hillingdon,,,BAKERY_CAFE,LOCATION_VERIFICATION
519067,Wenzels The Bakers,wenzels the bakers,Retailers - other,"3 Crescent Parade, Uxbridge Road, Uxbridge",UB10 0LG,Hillingdon,-0.453076,51.533183,CORE_BAKERY,LOCATION_VERIFICATION
519034,Rahul Food & Wine Ltd,rahul food and wine ltd,Retailers - other,"3 Hillingdon Parade, Uxbridge Road, Uxbridge",UB10 0PE,Hillingdon,-0.447877,51.530021,GROCER_BAKERY,VERIFIED_CANDIDATE
1760838,Almys Naan Shop,almys naan shop,Retailers - other,"10 Lees Parade, Uxbridge Road, Uxbridge",UB10 0PQ,Hillingdon,-0.4493471,51.5307963,CORE_BAKERY,VERIFIED_CANDIDATE
